year,sexe,age,esperance
2001,femmes,28,55.7
2002,femmes,28,55.7
2003,femmes,28,55.4
2004,femmes,28,56.5
2005,femmes,28,56.4
2006,femmes,28,57.1
2007,femmes,28,57.4
2008,femmes,28,57.4
2009,femmes,28,57.6
2010,femmes,28,57.9
2011,femmes,28,58.3
2012,femmes,28,57.9
2013,femmes,28,58.2
2014,femmes,28,57.9
2015,femmes,28,57.7
2016,femmes,28,57.9
2017,femmes,28,57.9
2018,femmes,28,58.0
2019,femmes,28,58.1
2020,femmes,28,57.7
2021,femmes,28,57.8
2022,femmes,28,57.7
2023,femmes,28,58.3
2024,femmes,28,58.4
1998,femmes,29,54.4
1999,femmes,29,54.5
2000,femmes,29,54.7
2001,femmes,29,54.8
2002,femmes,29,54.7
2003,femmes,29,54.4
2004,femmes,29,55.5
2005,femmes,29,55.5
2006,femmes,29,56.1
2007,femmes,29,56.4
2008,femmes,29,56.4
2009,femmes,29,56.6
2010,femmes,29,56.9
2011,femmes,29,57.3
2012,femmes,29,57.0
2013,femmes,29,57.2
2014,femmes,29,56.9
2015,femmes,29,56.7
2016,femmes,29,56.9
2017,femmes,29,56.9
2018,femmes,29,57.1
2019,femmes,29,57.2
2020,femmes,29,56.7
2021,femmes,29,56.8
2022,femmes,29,56.7
2023,femmes,29,57.3
2024,femmes,29,57.4
1998,femmes,30,53.5
1999,femmes,30,53.5
2000,femmes,30,53.8
2001,femmes,30,53.8
2002,femmes,30,53.7
2003,femmes,30,53.5
2004,femmes,30,54.5
2005,femmes,30,54.5
2006,femmes,30,55.1
2007,femmes,30,55.4
2008,femmes,30,55.5
2009,femmes,30,55.6
2010,femmes,30,55.9
2011,femmes,30,56.3
2012,femmes,30,56.0
2013,femmes,30,56.2
2014,femmes,30,56.0
2015,femmes,30,55.7
2016,femmes,30,55.9
2017,femmes,30,56.0
2018,femmes,30,56.1
2019,femmes,30,56.2
2020,femmes,30,55.7
2021,femmes,30,55.8
2022,femmes,30,55.8
2023,femmes,30,56.3
2024,femmes,30,56.4
1998,femmes,31,52.5
1999,femmes,31,52.6
2000,femmes,31,52.8
2001,femmes,31,52.8
2002,femmes,31,52.8
2003,femmes,31,52.5
2004,femmes,31,53.5
2005,femmes,31,53.5
2006,femmes,31,54.1
2007,femmes,31,54.4
2008,femmes,31,54.5
2009,femmes,31,54.6
2010,femmes,31,54.9
2011,femmes,31,55.3
2012,femmes,31,55.0
2013,femmes,31,55.2
2014,femmes,31,55.0
2015,femmes,31,54.7
2016,femmes,31,55.0
2017,femmes,31,55.0
2018,femmes,31,55.1
2019,femmes,31,55.2
2020,femmes,31,54.7
2021,femmes,31,54.8
2022,femmes,31,54.8
2023,femmes,31,55.3
2024,femmes,31,55.4
1998,femmes,32,51.5
1999,femmes,32,51.6
2000,femmes,32,51.8
2001,femmes,32,51.8
2002,femmes,32,51.8
2003,femmes,32,51.5
2004,femmes,32,52.6
2005,femmes,32,52.5
2006,femmes,32,53.2
2007,femmes,32,53.5
2008,femmes,32,53.5
2009,femmes,32,53.7
2010,femmes,32,53.9
2011,femmes,32,54.3
2012,femmes,32,54.0
2013,femmes,32,54.3
2014,femmes,32,54.0
2015,femmes,32,53.8
2016,femmes,32,54.0
2017,femmes,32,54.0
2018,femmes,32,54.1
2019,femmes,32,54.2
2020,femmes,32,53.7
2021,femmes,32,53.8
2022,femmes,32,53.8
2023,femmes,32,54.3
2024,femmes,32,54.5
1998,femmes,33,50.6
1999,femmes,33,50.6
2000,femmes,33,50.8
2001,femmes,33,50.9
2002,femmes,33,50.8
2003,femmes,33,50.5
2004,femmes,33,51.6
2005,femmes,33,51.5
2006,femmes,33,52.2
2007,femmes,33,52.5
2008,femmes,33,52.5
2009,femmes,33,52.7
2010,femmes,33,52.9
2011,femmes,33,53.4
2012,femmes,33,53.0
2013,femmes,33,53.3
2014,femmes,33,53.0
2015,femmes,33,52.8
2016,femmes,33,53.0
2017,femmes,33,53.0
2018,femmes,33,53.1
2019,femmes,33,53.2
2020,femmes,33,52.7
2021,femmes,33,52.9
2022,femmes,33,52.8
2023,femmes,33,53.4
2024,femmes,33,53.5
1998,femmes,34,49.6
1999,femmes,34,49.6
2000,femmes,34,49.9
2001,femmes,34,49.9
2002,femmes,34,49.8
2003,femmes,34,49.6
2004,femmes,34,50.6
2005,femmes,34,50.6
2006,femmes,34,51.2
2007,femmes,34,51.5
2008,femmes,34,51.5
2009,femmes,34,51.7
2010,femmes,34,52.0
2011,femmes,34,52.4
2012,femmes,34,52.1
2013,femmes,34,52.3
2014,femmes,34,52.0
2015,femmes,34,51.8
2016,femmes,34,52.0
2017,femmes,34,52.0
2018,femmes,34,52.1
2019,femmes,34,52.2
2020,femmes,34,51.8
2021,femmes,34,51.9
2022,femmes,34,51.8
2023,femmes,34,52.4
2024,femmes,34,52.5
1998,femmes,35,48.6
1999,femmes,35,48.7
2000,femmes,35,48.9
2001,femmes,35,48.9
2002,femmes,35,48.9
2003,femmes,35,48.6
2004,femmes,35,49.6
2005,femmes,35,49.6
2006,femmes,35,50.2
2007,femmes,35,50.5
2008,femmes,35,50.6
2009,femmes,35,50.7
2010,femmes,35,51.0
2011,femmes,35,51.4
2012,femmes,35,51.1
2013,femmes,35,51.3
2014,femmes,35,51.1
2015,femmes,35,50.8
2016,femmes,35,51.0
2017,femmes,35,51.0
2018,femmes,35,51.2
2019,femmes,35,51.3
2020,femmes,35,50.8
2021,femmes,35,50.9
2022,femmes,35,50.9
2023,femmes,35,51.4
2024,femmes,35,51.5
1998,femmes,36,47.7
1999,femmes,36,47.7
2000,femmes,36,47.9
2001,femmes,36,48.0
2002,femmes,36,47.9
2003,femmes,36,47.6
2004,femmes,36,48.7
2005,femmes,36,48.6
2006,femmes,36,49.3
2007,femmes,36,49.6
2008,femmes,36,49.6
2009,femmes,36,49.8
2010,femmes,36,50.0
2011,femmes,36,50.4
2012,femmes,36,50.1
2013,femmes,36,50.3
2014,femmes,36,50.1
2015,femmes,36,49.8
2016,femmes,36,50.1
2017,femmes,36,50.1
2018,femmes,36,50.2
2019,femmes,36,50.3
2020,femmes,36,49.8
2021,femmes,36,49.9
2022,femmes,36,49.9
2023,femmes,36,50.4
2024,femmes,36,50.5
1998,femmes,37,46.7
1999,femmes,37,46.7
2000,femmes,37,47.0
2001,femmes,37,47.0
2002,femmes,37,46.9
2003,femmes,37,46.6
2004,femmes,37,47.7
2005,femmes,37,47.7
2006,femmes,37,48.3
2007,femmes,37,48.6
2008,femmes,37,48.6
2009,femmes,37,48.8
2010,femmes,37,49.0
2011,femmes,37,49.5
2012,femmes,37,49.1
2013,femmes,37,49.4
2014,femmes,37,49.1
2015,femmes,37,48.9
2016,femmes,37,49.1
2017,femmes,37,49.1
2018,femmes,37,49.2
2019,femmes,37,49.3
2020,femmes,37,48.8
2021,femmes,37,49.0
2022,femmes,37,48.9
2023,femmes,37,49.4
2024,femmes,37,49.6
1998,femmes,38,45.7
1999,femmes,38,45.8
2000,femmes,38,46.0
2001,femmes,38,46.0
2002,femmes,38,46.0
2003,femmes,38,45.7
2004,femmes,38,46.7
2005,femmes,38,46.7
2006,femmes,38,47.3
2007,femmes,38,47.6
2008,femmes,38,47.7
2009,femmes,38,47.8
2010,femmes,38,48.1
2011,femmes,38,48.5
2012,femmes,38,48.2
2013,femmes,38,48.4
2014,femmes,38,48.1
2015,femmes,38,47.9
2016,femmes,38,48.1
2017,femmes,38,48.1
2018,femmes,38,48.2
2019,femmes,38,48.3
2020,femmes,38,47.9
2021,femmes,38,48.0
2022,femmes,38,47.9
2023,femmes,38,48.5
2024,femmes,38,48.6
1998,femmes,39,44.8
1999,femmes,39,44.8
2000,femmes,39,45.1
2001,femmes,39,45.1
2002,femmes,39,45.0
2003,femmes,39,44.7
2004,femmes,39,45.8
2005,femmes,39,45.7
2006,femmes,39,46.4
2007,femmes,39,46.7
2008,femmes,39,46.7
2009,femmes,39,46.9
2010,femmes,39,47.1
2011,femmes,39,47.5
2012,femmes,39,47.2
2013,femmes,39,47.4
